DEF_HARPNUM,Minimum,Maximum
6316,2016-01-31 21:12:00,2016-02-07 08:48:00
4422,2014-08-01 00:36:00,2014-08-08 20:12:00
882,2011-09-18 16:00:00,2011-09-20 14:00:00
4455,2014-08-13 23:24:00,2014-08-25 23:36:00
6361,2016-02-15 10:36:00,2016-02-25 11:12:00
916,2011-09-30 16:12:00,2011-10-02 09:48:00
2153,2012-10-25 22:00:00,2012-10-29 02:00:00
1448,2012-03-01 14:36:00,2012-03-03 07:36:00
7139,2017-09-18 10:00:00,2017-09-24 21:36:00
5799,2015-07-18 04:24:00,2015-07-18 15:48:00
7043,2017-06-10 14:12:00,2017-06-11 13:12:00
3271,2013-10-11 02:12:00,2013-10-12 00:24:00
1545,2012-04-07 05:00:00,2012-04-08 11:12:00
5694,2015-06-16 12:48:00,2015-06-18 04:36:00
3206,2013-09-19 13:48:00,2013-09-19 21:36:00
7034,2017-05-31 13:48:00,2017-06-12 09:48:00
1968,2012-08-24 13:48:00,2012-09-01 15:36:00
2419,2013-01-24 13:24:00,2013-01-30 03:36:00
2480,2013-02-11 11:12:00,2013-02-14 05:12:00
6726,2016-08-27 05:48:00,2016-09-02 15:24:00
4186,2014-05-30 00:24:00,2014-06-11 10:00:00
6751,2016-09-08 15:24:00,2016-09-12 04:00:00
4065,2014-04-24 16:36:00,2014-05-01 11:36:00
5885,2015-08-17 13:24:00,2015-08-30 18:12:00
5446,2015-04-10 12:48:00,2015-04-22 06:12:00
5988,2015-09-25 18:24:00,2015-09-26 00:24:00
3140,2013-08-28 03:00:00,2013-09-06 08:48:00
1674,2012-05-16 11:36:00,2012-05-20 11:12:00
1603,2012-04-21 01:00:00,2012-05-01 15:12:00
5431,2015-04-03 21:12:00,2015-04-04 18:12:00
7305,2018-09-10 22:12:00,2018-09-16 04:24:00
2728,2013-05-05 07:48:00,2013-05-06 12:12:00
340,2011-01-08 12:24:00,2011-01-10 12:48:00
6937,2017-01-29 01:48:00,2017-02-06 09:12:00
2625,2013-04-03 04:12:00,2013-04-14 03:36:00
6583,2016-05-26 14:36:00,2016-05-28 17:12:00
2652,2013-04-09 05:36:00,2013-04-10 05:48:00
6460,2016-03-28 11:00:00,2016-03-29 23:36:00
3827,2014-03-05 09:12:00,2014-03-06 12:24:00
1349,2012-01-25 21:48:00,2012-02-01 07:36:00
5098,2015-01-18 01:12:00,2015-01-19 09:00:00
5076,2015-01-14 09:48:00,2015-01-18 05:36:00
5001,2014-12-25 20:36:00,2014-12-27 07:24:00
1233,2011-12-22 09:12:00,2011-12-26 02:24:00
693,2011-07-01 13:36:00,2011-07-09 14:36:00
2318,2012-12-20 02:12:00,2012-12-21 06:36:00
770,2011-08-07 13:12:00,2011-08-08 17:00:00
4669,2014-10-08 00:12:00,2014-10-14 09:00:00
4687,2014-10-13 20:24:00,2014-10-24 06:24:00
2381,2013-01-10 09:00:00,2013-01-15 19:24:00
6027,2015-10-16 15:12:00,2015-10-30 12:48:00
4764,2014-10-30 12:36:00,2014-11-08 22:48:00
6050,2015-10-21 23:36:00,2015-10-24 19:48:00
2262,2012-12-04 11:36:00,2012-12-18 01:48:00
3400,2013-11-17 04:12:00,2013-11-30 08:24:00
5092,2015-01-17 14:24:00,2015-01-22 17:24:00
5106,2015-01-21 11:24:00,2015-01-29 15:36:00
1343,2012-01-22 23:24:00,2012-01-23 19:24:00
3957,2014-04-01 06:36:00,2014-04-10 02:24:00
3920,2014-03-26 14:00:00,2014-03-31 16:12:00
2286,2012-12-09 20:48:00,2012-12-18 13:24:00
6120,2015-11-18 06:12:00,2015-11-18 11:12:00
4614,2014-09-25 23:48:00,2014-09-29 01:36:00
4780,2014-11-03 07:48:00,2014-11-03 17:24:00
677,2011-06-18 21:48:00,2011-06-21 02:36:00
2268,2012-12-06 08:00:00,2012-12-11 05:00:00
